"","event","start","end","group","notes","category"
"36",NA,2023-10-03,2023-10-10,"CVP regular counts, CWT reading","Active","1"
"37",NA,2023-10-03,2023-10-10,"CVP larval sampling","Not Active","4"
"38",NA,2023-10-03,2023-10-10,"Smelt Larval Survey","Not Active","4"
"39",NA,2023-10-03,2023-10-10,"LEPS","Not Active","4"
"40",NA,2023-10-03,2023-10-10,"20mm Survey","Not Active","4"
"41",NA,2023-10-03,2023-10-10,"Fall Mid-water Trawl","Active","1"
"42",NA,2023-10-03,2023-10-10,"Summer Townet Survey","Not Active","4"
"43",NA,2023-10-03,2023-10-10,"Bay Study","Active","1"
"44",NA,2023-10-03,2023-10-10,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"45",NA,2023-10-03,2023-10-10,"DJFMP- Seines","Active","1"
"46",NA,2023-10-03,2023-10-10,"EDSM","Active","1"
"47",NA,2023-10-03,2023-10-10,"EMP","Active","1"
"48",NA,2023-10-03,2023-10-10,"Mossdale","Active","1"
"49",NA,2023-10-03,2023-10-10,"USGS Flow monitoring","Active","1"
"50",NA,2023-10-03,2023-10-10,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"51",NA,2023-10-03,2023-10-10,"Knights Landing RST","Active (Monday-Friday)","1"
"52",NA,2023-10-03,2023-10-10,"Tisdale RST","Active","1"
"53",NA,2023-10-03,2023-10-10,"GCID RST","Not Active","4"
"54",NA,2023-10-03,2023-10-10,"Yuba River (Hallwood) RST","Not Active*","1"
"55",NA,2023-10-03,2023-10-10,"Redd dewatering and stranding surveys","Not Active","4"
"56",NA,2023-10-03,2023-10-10,"Sacramento Carcass and Redd Surveys","Active","1"
"57",NA,2023-10-03,2023-10-10,"Lower Sacramento RST","Active","1"
"58",NA,2023-10-03,2023-10-10,"Feather River (upper DWR) RST","Active","1"
"59",NA,2023-10-03,2023-10-10,"Feather River (lower CDFW) RST","Active","1"
"60",NA,2023-10-03,2023-10-10,"SJRRP CDFW Field Monitoring","Active","1"
"61",NA,2023-10-03,2023-10-10,"SJRRP USBR Field Monitoring","Active","1"
"62",NA,2023-10-03,2023-10-10,"Stanislaus Fish Weir","Active","1"
"63",NA,2023-10-03,2023-10-10,"American River Carcass/Redd Surveys","Not Active","4"
"64",NA,2023-10-03,2023-10-10,"Caswell RST","Active","1"
"65",NA,2023-10-03,2023-10-10,"Wallace Weir","Not Active","4"
"66",NA,2023-10-03,2023-10-10,"Butte Creek RST/Diversion Trap","Not Active/Active","4/1"
"67",NA,2023-10-10,2023-10-17,"SWP regular counts, CWT reading","Active","1"
"68",NA,2023-10-10,2023-10-17,"SWP larval sampling","Not Active","4"
"69",NA,2023-10-10,2023-10-17,"CVP regular counts, CWT reading","Active","1"
"70",NA,2023-10-10,2023-10-17,"CVP larval sampling","Not Active","4"
"71",NA,2023-10-10,2023-10-17,"Smelt Larval Survey","Not Active","4"
"72",NA,2023-10-10,2023-10-17,"LEPS","Not Active","4"
"73",NA,2023-10-10,2023-10-17,"20mm Survey","Not Active","4"
"74",NA,2023-10-10,2023-10-17,"Fall Mid-water Trawl","Active","1"
"75",NA,2023-10-10,2023-10-17,"Summer Townet Survey","Not Active","4"
"76",NA,2023-10-10,2023-10-17,"Bay Study","Active","1"
"77",NA,2023-10-10,2023-10-17,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"78",NA,2023-10-10,2023-10-17,"DJFMP- Seines","Active","1"
"79",NA,2023-10-10,2023-10-17,"EDSM","Active","1"
"80",NA,2023-10-10,2023-10-17,"EMP","Active","1"
"81",NA,2023-10-10,2023-10-17,"Mossdale","Active","1"
"82",NA,2023-10-10,2023-10-17,"USGS Flow monitoring","Active","1"
"83",NA,2023-10-10,2023-10-17,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"84",NA,2023-10-10,2023-10-17,"Knights Landing RST","Active (Monday-Friday)","1"
"85",NA,2023-10-10,2023-10-17,"Tisdale RST","Active","1"
"86",NA,2023-10-10,2023-10-17,"GCID RST","Not Active","4"
"87",NA,2023-10-10,2023-10-17,"Yuba River (Hallwood) RST","Not Active*","1"
"88",NA,2023-10-10,2023-10-17,"Redd dewatering and stranding surveys","Not Active","4"
"89",NA,2023-10-10,2023-10-17,"Sacramento Carcass and Redd Surveys","Active","1"
"90",NA,2023-10-10,2023-10-17,"Lower Sacramento RST","Active","1"
"91",NA,2023-10-10,2023-10-17,"Feather River (upper DWR) RST","Active","1"
"92",NA,2023-10-10,2023-10-17,"Feather River (lower CDFW) RST","Active","1"
"93",NA,2023-10-10,2023-10-17,"SJRRP CDFW Field Monitoring","Active","1"
"94",NA,2023-10-10,2023-10-17,"SJRRP USBR Field Monitoring","Active","1"
"95",NA,2023-10-10,2023-10-17,"Stanislaus Fish Weir","Active","1"
"96",NA,2023-10-10,2023-10-17,"American River Carcass/Redd Surveys","Not Active","4"
"97",NA,2023-10-10,2023-10-17,"Caswell RST","Active","1"
"98",NA,2023-10-10,2023-10-17,"Wallace Weir","Not Active","4"
"99",NA,2023-10-10,2023-10-17,"Butte Creek RST/Diversion Trap","Not Active/Active","4/1"
"100",NA,2023-10-17,2023-10-24,"SWP regular counts, CWT reading","Partial Interruption","2"
"101",NA,2023-10-17,2023-10-24,"SWP larval sampling","Not Active","4"
"102",NA,2023-10-17,2023-10-24,"CVP regular counts, CWT reading","Active","1"
"103",NA,2023-10-17,2023-10-24,"CVP larval sampling","Not Active","4"
"104",NA,2023-10-17,2023-10-24,"Smelt Larval Survey","Not Active","4"
"105",NA,2023-10-17,2023-10-24,"LEPS","Not Active","4"
"106",NA,2023-10-17,2023-10-24,"20mm Survey","Not Active","4"
"107",NA,2023-10-17,2023-10-24,"Fall Mid-water Trawl","Active","1"
"108",NA,2023-10-17,2023-10-24,"Summer Townet Survey","Not Active","4"
"109",NA,2023-10-17,2023-10-24,"Bay Study","Active","1"
"110",NA,2023-10-17,2023-10-24,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"111",NA,2023-10-17,2023-10-24,"DJFMP- Seines","Active","1"
"112",NA,2023-10-17,2023-10-24,"EDSM","Active","1"
"113",NA,2023-10-17,2023-10-24,"EMP","Active","1"
"114",NA,2023-10-17,2023-10-24,"Mossdale","Active","1"
"115",NA,2023-10-17,2023-10-24,"USGS Flow monitoring","Active","1"
"116",NA,2023-10-17,2023-10-24,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"117",NA,2023-10-17,2023-10-24,"Knights Landing RST","Active","1"
"118",NA,2023-10-17,2023-10-24,"Tisdale RST","Active","1"
"119",NA,2023-10-17,2023-10-24,"GCID RST","Not Active","4"
"120",NA,2023-10-17,2023-10-24,"Yuba River (Hallwood) RST","Not Active*","1"
"121",NA,2023-10-17,2023-10-24,"Redd dewatering and stranding surveys","Active","1"
"122",NA,2023-10-17,2023-10-24,"Sacramento Carcass and Redd Surveys","Active","1"
"123",NA,2023-10-17,2023-10-24,"Lower Sacramento RST","Active","1"
"124",NA,2023-10-17,2023-10-24,"Feather River (upper DWR) RST","Active","1"
"125",NA,2023-10-17,2023-10-24,"Feather River (lower CDFW) RST","Active","1"
"126",NA,2023-10-17,2023-10-24,"SJRRP CDFW Field Monitoring","Active","1"
"127",NA,2023-10-17,2023-10-24,"SJRRP USBR Field Monitoring","Active","1"
"128",NA,2023-10-17,2023-10-24,"Stanislaus Fish Weir","Active","1"
"129",NA,2023-10-17,2023-10-24,"American River Carcass/Redd Surveys","Active","1"
"130",NA,2023-10-17,2023-10-24,"Caswell RST","Active","1"
"131",NA,2023-10-17,2023-10-24,"Wallace Weir","Not Active","4"
"132",NA,2023-10-17,2023-10-24,"Butte Creek RST/Diversion Trap","Not Active/Active","4/1"
"133",NA,2023-10-24,2023-10-31,"SWP regular counts, CWT reading","Active","1"
"134",NA,2023-10-24,2023-10-31,"SWP larval sampling","Not Active","4"
"135",NA,2023-10-24,2023-10-31,"CVP regular counts, CWT reading","Active","1"
"136",NA,2023-10-24,2023-10-31,"CVP larval sampling","Not Active","4"
"137",NA,2023-10-24,2023-10-31,"Smelt Larval Survey","Not Active","4"
"138",NA,2023-10-24,2023-10-31,"LEPS","Not Active","4"
"139",NA,2023-10-24,2023-10-31,"20mm Survey","Not Active","4"
"140",NA,2023-10-24,2023-10-31,"Fall Mid-water Trawl","Active","1"
"141",NA,2023-10-24,2023-10-31,"Summer Townet Survey","Not Active","4"
"142",NA,2023-10-24,2023-10-31,"Bay Study","Active","1"
"143",NA,2023-10-24,2023-10-31,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"144",NA,2023-10-24,2023-10-31,"DJFMP- Seines","Active","1"
"145",NA,2023-10-24,2023-10-31,"EDSM","Active","1"
"146",NA,2023-10-24,2023-10-31,"EMP","Active","1"
"147",NA,2023-10-24,2023-10-31,"Mossdale","Active","1"
"148",NA,2023-10-24,2023-10-31,"USGS Flow monitoring","Active","1"
"149",NA,2023-10-24,2023-10-31,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"150",NA,2023-10-24,2023-10-31,"Knights Landing RST","Active","1"
"151",NA,2023-10-24,2023-10-31,"Tisdale RST","Active","1"
"152",NA,2023-10-24,2023-10-31,"GCID RST","Not Active","4"
"153",NA,2023-10-24,2023-10-31,"Yuba River (Hallwood) RST","Not Active*","1"
"154",NA,2023-10-24,2023-10-31,"Redd dewatering and stranding surveys","Active","1"
"155",NA,2023-10-24,2023-10-31,"Sacramento Carcass and Redd Surveys","Active","1"
"156",NA,2023-10-24,2023-10-31,"Lower Sacramento RST","Active","1"
"157",NA,2023-10-24,2023-10-31,"Feather River (upper DWR) RST","Active","1"
"158",NA,2023-10-24,2023-10-31,"Feather River (lower CDFW) RST","Active","1"
"159",NA,2023-10-24,2023-10-31,"SJRRP CDFW Field Monitoring","Active","1"
"160",NA,2023-10-24,2023-10-31,"SJRRP USBR Field Monitoring","Active","1"
"161",NA,2023-10-24,2023-10-31,"Stanislaus Fish Weir","Active","1"
"162",NA,2023-10-24,2023-10-31,"American River Carcass/Redd Surveys","Active","1"
"163",NA,2023-10-24,2023-10-31,"Caswell RST","Active","1"
"164",NA,2023-10-24,2023-10-31,"Wallace Weir","Not Active","4"
"165",NA,2023-10-24,2023-10-31,"Butte Creek RST/Diversion Trap","Not Active/Active","4/1"
"166",NA,2023-10-31,2023-11-07,"SWP regular counts, CWT reading","Active","1"
"167",NA,2023-10-31,2023-11-07,"SWP larval sampling","Not Active","4"
"168",NA,2023-10-31,2023-11-07,"CVP regular counts, CWT reading","Active","1"
"169",NA,2023-10-31,2023-11-07,"CVP larval sampling","Not Active","4"
"170",NA,2023-10-31,2023-11-07,"Smelt Larval Survey","Not Active","4"
"171",NA,2023-10-31,2023-11-07,"LEPS","Not Active","4"
"172",NA,2023-10-31,2023-11-07,"20mm Survey","Not Active","4"
"173",NA,2023-10-31,2023-11-07,"Fall Mid-water Trawl","Active","1"
"174",NA,2023-10-31,2023-11-07,"Summer Townet Survey","Not Active","4"
"175",NA,2023-10-31,2023-11-07,"Bay Study","Active","1"
"176",NA,2023-10-31,2023-11-07,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"177",NA,2023-10-31,2023-11-07,"DJFMP- Seines","Active","1"
"178",NA,2023-10-31,2023-11-07,"EDSM","Active","1"
"179",NA,2023-10-31,2023-11-07,"EMP","Active","1"
"180",NA,2023-10-31,2023-11-07,"Mossdale","Active","1"
"181",NA,2023-10-31,2023-11-07,"USGS Flow monitoring","Active","1"
"182",NA,2023-10-31,2023-11-07,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"183",NA,2023-10-31,2023-11-07,"Knights Landing RST","Active","1"
"184",NA,2023-10-31,2023-11-07,"Tisdale RST","Active","1"
"185",NA,2023-10-31,2023-11-07,"GCID RST","Not Active","4"
"186",NA,2023-10-31,2023-11-07,"Yuba River (Hallwood) RST","Not Active*","1"
"187",NA,2023-10-31,2023-11-07,"Redd dewatering and stranding surveys","Active","1"
"188",NA,2023-10-31,2023-11-07,"Sacramento Carcass and Redd Surveys","Active","1"
"189",NA,2023-10-31,2023-11-07,"Lower Sacramento RST","Active","1"
"190",NA,2023-10-31,2023-11-07,"Feather River (upper DWR) RST","Not Active","4"
"191",NA,2023-10-31,2023-11-07,"Feather River (lower CDFW) RST","Active","1"
"192",NA,2023-10-31,2023-11-07,"SJRRP CDFW Field Monitoring","Active","1"
"193",NA,2023-10-31,2023-11-07,"SJRRP USBR Field Monitoring","Active","1"
"194",NA,2023-10-31,2023-11-07,"Stanislaus Fish Weir","Active","1"
"195",NA,2023-10-31,2023-11-07,"American River Carcass/Redd Surveys","Active","1"
"196",NA,2023-10-31,2023-11-07,"Caswell RST","Active","1"
"197",NA,2023-10-31,2023-11-07,"Wallace Weir","Active","1"
"198",NA,2023-10-31,2023-11-07,"Butte Creek RST/Diversion Trap","Not Active/Active","4/1"
"199",NA,NA,NA,"SWP regular counts, CWT reading","Active","1"
"200",NA,NA,NA,"SWP larval sampling","Not Active","4"
"201",NA,NA,NA,"CVP regular counts, CWT reading","Active","1"
"202",NA,NA,NA,"CVP larval sampling","Not Active","4"
"203",NA,NA,NA,"Smelt Larval Survey","Not Active","4"
"204",NA,NA,NA,"LEPS","Not Active","4"
"205",NA,NA,NA,"20mm Survey","Not Active","4"
"206",NA,NA,NA,"Fall Mid-water Trawl","Active","1"
"207",NA,NA,NA,"Summer Townet Survey","Not Active","4"
"208",NA,NA,NA,"Bay Study","Active","1"
"209",NA,NA,NA,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"210",NA,NA,NA,"DJFMP- Seines","Active","1"
"211",NA,NA,NA,"EDSM","Active","1"
"212",NA,NA,NA,"EMP","Active","1"
"213",NA,NA,NA,"Mossdale","Active","1"
"214",NA,NA,NA,"USGS Flow monitoring","Active","1"
"215",NA,NA,NA,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"216",NA,NA,NA,"Knights Landing RST","Active","1"
"217",NA,NA,NA,"Tisdale RST","Active","1"
"218",NA,NA,NA,"GCID RST","Not Active","4"
"219",NA,NA,NA,"Yuba River (Hallwood) RST","Active","1"
"220",NA,NA,NA,"Redd dewatering and stranding surveys","Active","1"
"221",NA,NA,NA,"Sacramento Carcass and Redd Surveys","Active","1"
"222",NA,NA,NA,"Lower Sacramento RST","Active","1"
"223",NA,NA,NA,"Feather River (upper DWR) RST","Not Active","4"
"224",NA,NA,NA,"Feather River (lower CDFW) RST","Active","1"
"225",NA,NA,NA,"SJRRP CDFW Field Monitoring","Active","1"
"226",NA,NA,NA,"SJRRP USBR Field Monitoring","Active","1"
"227",NA,NA,NA,"Stanislaus Fish Weir","Active","1"
"228",NA,NA,NA,"American River Carcass/Redd Surveys","Active","1"
"229",NA,NA,NA,"Caswell RST","Not Active","4"
"230",NA,NA,NA,"Wallace Weir","Active","1"
"231",NA,NA,NA,"Butte Creek RST/Diversion Trap","Active","1"
"232",NA,2023-11-14,2023-11-21,"SWP regular counts, CWT reading","Active","1"
"233",NA,2023-11-14,2023-11-21,"SWP larval sampling","Not Active","4"
"234",NA,2023-11-14,2023-11-21,"CVP regular counts, CWT reading","Active","1"
"235",NA,2023-11-14,2023-11-21,"CVP larval sampling","Not Active","4"
"236",NA,2023-11-14,2023-11-21,"Smelt Larval Survey","Not Active","4"
"237",NA,2023-11-14,2023-11-21,"LEPS","Not Active","4"
"238",NA,2023-11-14,2023-11-21,"20mm Survey","Not Active","4"
"239",NA,2023-11-14,2023-11-21,"Fall Mid-water Trawl","Active","1"
"240",NA,2023-11-14,2023-11-21,"Summer Townet Survey","Not Active","4"
"241",NA,2023-11-14,2023-11-21,"Bay Study","Active","1"
"242",NA,2023-11-14,2023-11-21,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"243",NA,2023-11-14,2023-11-21,"DJFMP- Seines","Active","1"
"244",NA,2023-11-14,2023-11-21,"EDSM","Active","1"
"245",NA,2023-11-14,2023-11-21,"EMP","Active","1"
"246",NA,2023-11-14,2023-11-21,"Mossdale","Active","1"
"247",NA,2023-11-14,2023-11-21,"USGS Flow monitoring","Active","1"
"248",NA,2023-11-14,2023-11-21,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"249",NA,2023-11-14,2023-11-21,"Knights Landing RST","Active","1"
"250",NA,2023-11-14,2023-11-21,"Tisdale RST","Active","1"
"251",NA,2023-11-14,2023-11-21,"GCID RST","Not Active","4"
"252",NA,2023-11-14,2023-11-21,"Yuba River (Hallwood) RST","Active","1"
"253",NA,2023-11-14,2023-11-21,"Redd dewatering and stranding surveys","Active","1"
"254",NA,2023-11-14,2023-11-21,"Sacramento Carcass and Redd Surveys","Active","1"
"255",NA,2023-11-14,2023-11-21,"Lower Sacramento RST","Active","1"
"256",NA,2023-11-14,2023-11-21,"Feather River (upper DWR) RST","Not Active","4"
"257",NA,2023-11-14,2023-11-21,"Feather River (lower CDFW) RST","Active","1"
"258",NA,2023-11-14,2023-11-21,"SJRRP CDFW Field Monitoring","Active","1"
"259",NA,2023-11-14,2023-11-21,"SJRRP USBR Field Monitoring","Active","1"
"260",NA,2023-11-14,2023-11-21,"Stanislaus Fish Weir","Active","1"
"261",NA,2023-11-14,2023-11-21,"American River Carcass/Redd Surveys","Active","1"
"262",NA,2023-11-14,2023-11-21,"Caswell RST","Not Active","4"
"263",NA,2023-11-14,2023-11-21,"Wallace Weir","Active","1"
"264",NA,2023-11-14,2023-11-21,"Butte Creek RST/Diversion Trap","Active","1"
"265",NA,NA,NA,"SWP regular counts, CWT reading","Active","1"
"266",NA,NA,NA,"SWP larval sampling","Not Active","4"
"267",NA,NA,NA,"CVP regular counts, CWT reading","Active","1"
"268",NA,NA,NA,"CVP larval sampling","Not Active","4"
"269",NA,NA,NA,"Smelt Larval Survey","Not Active","4"
"270",NA,NA,NA,"LEPS","Not Active","4"
"271",NA,NA,NA,"20mm Survey","Not Active","4"
"272",NA,NA,NA,"Fall Mid-water Trawl","Active","1"
"273",NA,NA,NA,"Summer Townet Survey","Not Active","4"
"274",NA,NA,NA,"Bay Study","Active","1"
"275",NA,NA,NA,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"276",NA,NA,NA,"DJFMP- Seines","Active","1"
"277",NA,NA,NA,"EDSM","Active","1"
"278",NA,NA,NA,"EMP","Active","1"
"279",NA,NA,NA,"Mossdale","Active","1"
"280",NA,NA,NA,"USGS Flow monitoring","Active","1"
"281",NA,NA,NA,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"282",NA,NA,NA,"Knights Landing RST","Active","1"
"283",NA,NA,NA,"Tisdale RST","Active","1"
"284",NA,NA,NA,"GCID RST","Not Active","4"
"285",NA,NA,NA,"Yuba River (Hallwood) RST","Active","1"
"286",NA,NA,NA,"Redd dewatering and stranding surveys","Active","1"
"287",NA,NA,NA,"Sacramento Carcass and Redd Surveys","Active","1"
"288",NA,NA,NA,"Lower Sacramento RST","Active","1"
"289",NA,NA,NA,"Feather River (upper DWR) RST","Not Active","4"
"290",NA,NA,NA,"Feather River (lower CDFW) RST","Active","1"
"291",NA,NA,NA,"SJRRP CDFW Field Monitoring","Active","1"
"292",NA,NA,NA,"SJRRP USBR Field Monitoring","Active","1"
"293",NA,NA,NA,"Stanislaus Fish Weir","Active","1"
"294",NA,NA,NA,"American River Carcass/Redd Surveys","Active","1"
"295",NA,NA,NA,"Caswell RST","Not Active","4"
"296",NA,NA,NA,"Wallace Weir","Active","1"
"297",NA,NA,NA,"Butte Creek RST/Diversion Trap","Active","1"
"298",NA,NA,NA,"SWP regular counts, CWT reading","Active","1"
"299",NA,NA,NA,"SWP larval sampling","Not Active","4"
"300",NA,NA,NA,"CVP regular counts, CWT reading","Active","1"
"301",NA,NA,NA,"CVP larval sampling","Not Active","4"
"302",NA,NA,NA,"Smelt Larval Survey","Not Active","4"
"303",NA,NA,NA,"LEPS","Not Active","4"
"304",NA,NA,NA,"20mm Survey","Not Active","4"
"305",NA,NA,NA,"Fall Mid-water Trawl","Active","1"
"306",NA,NA,NA,"Summer Townet Survey","Not Active","4"
"307",NA,NA,NA,"Bay Study","Active","1"
"308",NA,NA,NA,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"309",NA,NA,NA,"DJFMP- Seines","Active","1"
"310",NA,NA,NA,"EDSM","Active","1"
"311",NA,NA,NA,"EMP","Active","1"
"312",NA,NA,NA,"Mossdale","Active","1"
"313",NA,NA,NA,"USGS Flow monitoring","Active","1"
"314",NA,NA,NA,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"315",NA,NA,NA,"Knights Landing RST","Active","1"
"316",NA,NA,NA,"Tisdale RST","Active","1"
"317",NA,NA,NA,"GCID RST","Not Active","4"
"318",NA,NA,NA,"Yuba River (Hallwood) RST","Active","1"
"319",NA,NA,NA,"Redd dewatering and stranding surveys","Active","1"
"320",NA,NA,NA,"Sacramento Carcass and Redd Surveys","Active","1"
"321",NA,NA,NA,"Lower Sacramento RST","Active","1"
"322",NA,NA,NA,"Feather River (upper DWR) RST","Active","1"
"323",NA,NA,NA,"Feather River (lower CDFW) RST","Active","1"
"324",NA,NA,NA,"SJRRP CDFW Field Monitoring","Active","1"
"325",NA,NA,NA,"SJRRP USBR Field Monitoring","Active","1"
"326",NA,NA,NA,"Stanislaus Fish Weir","Active","1"
"327",NA,NA,NA,"American River Carcass/Redd Surveys","Active","1"
"328",NA,NA,NA,"Caswell RST","Not Active","4"
"329",NA,NA,NA,"Wallace Weir","Active","1"
"330",NA,NA,NA,"Butte Creek RST/Diversion Trap","Active","1"
"331",NA,2023-12-05,2023-12-12,"SWP regular counts, CWT reading","Active","1"
"332",NA,2023-12-05,2023-12-12,"SWP larval sampling","Not Active","4"
"333",NA,2023-12-05,2023-12-12,"CVP regular counts, CWT reading","Active","1"
"334",NA,2023-12-05,2023-12-12,"CVP larval sampling","Not Active","4"
"335",NA,2023-12-05,2023-12-12,"Smelt Larval Survey","Active","1"
"336",NA,2023-12-05,2023-12-12,"LEPS","Not Active","4"
"337",NA,2023-12-05,2023-12-12,"20mm Survey","Not Active","4"
"338",NA,2023-12-05,2023-12-12,"Fall Mid-water Trawl","Active","1"
"339",NA,2023-12-05,2023-12-12,"Summer Townet Survey","Not Active","4"
"340",NA,2023-12-05,2023-12-12,"Bay Study","Active","1"
"341",NA,2023-12-05,2023-12-12,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"342",NA,2023-12-05,2023-12-12,"DJFMP- Seines","Active","1"
"343",NA,2023-12-05,2023-12-12,"EDSM","Active","1"
"344",NA,2023-12-05,2023-12-12,"EMP","Active","1"
"345",NA,2023-12-05,2023-12-12,"Mossdale","Active","1"
"346",NA,2023-12-05,2023-12-12,"USGS Flow monitoring","Active","1"
"347",NA,2023-12-05,2023-12-12,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"348",NA,2023-12-05,2023-12-12,"Knights Landing RST","Active","1"
"349",NA,2023-12-05,2023-12-12,"Tisdale RST","Active","1"
"350",NA,2023-12-05,2023-12-12,"GCID RST","Not Active","4"
"351",NA,2023-12-05,2023-12-12,"Yuba River (Hallwood) RST","Active","1"
"352",NA,2023-12-05,2023-12-12,"Redd dewatering and stranding surveys","Active","1"
"353",NA,2023-12-05,2023-12-12,"Sacramento Carcass and Redd Surveys","Active","1"
"354",NA,2023-12-05,2023-12-12,"Lower Sacramento RST","Active","1"
"355",NA,2023-12-05,2023-12-12,"Feather River (upper DWR) RST","Active","1"
"356",NA,2023-12-05,2023-12-12,"Feather River (lower CDFW) RST","Active","1"
"357",NA,2023-12-05,2023-12-12,"SJRRP CDFW Field Monitoring","Active","1"
"358",NA,2023-12-05,2023-12-12,"SJRRP USBR Field Monitoring","Active","1"
"359",NA,2023-12-05,2023-12-12,"Stanislaus Fish Weir","Active","1"
"360",NA,2023-12-05,2023-12-12,"American River Carcass/Redd Surveys","Active","1"
"361",NA,2023-12-05,2023-12-12,"Caswell RST","Not Active","4"
"362",NA,2023-12-05,2023-12-12,"Wallace Weir","Active","1"
"363",NA,2023-12-05,2023-12-12,"Butte Creek RST/Diversion Trap","Active","1"
"364",NA,2023-12-12,2023-12-19,"SWP regular counts, CWT reading","Active","1"
"365",NA,2023-12-12,2023-12-19,"SWP larval sampling","Not Active","4"
"366",NA,2023-12-12,2023-12-19,"CVP regular counts, CWT reading","Active","1"
"367",NA,2023-12-12,2023-12-19,"CVP larval sampling","Not Active","4"
"368",NA,2023-12-12,2023-12-19,"Smelt Larval Survey","Active","1"
"369",NA,2023-12-12,2023-12-19,"LEPS","Not Active","4"
"370",NA,2023-12-12,2023-12-19,"20mm Survey","Not Active","4"
"371",NA,2023-12-12,2023-12-19,"Fall Mid-water Trawl","Active","1"
"372",NA,2023-12-12,2023-12-19,"Summer Townet Survey","Not Active","4"
"373",NA,2023-12-12,2023-12-19,"Bay Study","Active","1"
